episode,reward_safe,reward_std,violations_safe,violations_std,lagrangian_lambda,comp_cost,comp_carbon,comp_degrad,comp_safety
0,-71662.67820597057,-71669.77346141612,0.0,27.357341785679978,0.48,170.62542429992996,170.62542429992996,42.65635607498249,0.0
1,-72657.15156744234,-72690.9718124071,0.0,31.727100230774887,0.4608,172.99321801771987,172.99321801771987,43.24830450442997,0.0
2,-73162.10747701126,-73193.03934327766,0.0,22.443921617844076,0.442368,174.19549399288397,174.19549399288397,43.54887349822099,0.0
3,-72624.13658345105,-72629.24053524846,0.0,24.37106539950176,0.42467328,172.9146109129787,172.9146109129787,43.228652728244676,0.0
4,-75036.09199796391,-75051.6492470868,0.0,30.470957592354743,0.4076863488,178.6573618999141,178.6573618999141,44.66434047497852,0.0
5,-73242.81345835599,-73240.88881205884,0.0,32.64775159730307,0.391378894848,174.3876510913238,174.3876510913238,43.59691277283095,0.0
6,-73826.6074949313,-73840.02741594551,0.0,22.8655946502629,0.37572373905407996,175.77763689269358,175.77763689269358,43.944409223173395,0.0
7,-72477.61470557055,-72482.49366181795,0.0,16.725716640671152,0.36069478949191675,172.56574929897752,172.56574929897752,43.14143732474438,0.0
8,-73850.81785629345,-73874.04956213306,0.0,25.36658983594202,0.3462669979122401,175.8352806102225,175.8352806102225,43.958820152555624,0.0
9,-73760.00700882,-73762.10739982259,0.0,18.52460613968192,0.33241631799575044,175.61906430671428,175.61906430671428,43.90476607667857,0.0
10,-74998.39777459559,-75010.03992760269,0.0,33.34510762644696,0.3191196652759204,178.56761374903712,178.56761374903712,44.64190343725928,0.0
11,-73973.73386323891,-73986.13794972528,0.0,17.48428523440947,0.3063548786648836,176.1279377696165,176.1279377696165,44.031984442404124,0.0
12,-75504.0218797495,-75516.56444910864,0.0,23.636382151261646,0.2941006835182882,179.77148066607026,179.77148066607026,44.942870166517565,0.0
13,-71704.36713227777,-71692.39826584834,0.0,24.72852566741094,0.28233665617755666,170.7246836482804,170.7246836482804,42.6811709120701,0.0
14,-73734.2242482625,-73746.91490296042,0.0,28.48103182406709,0.2710431899304544,175.5576767815774,175.5576767815774,43.88941919539435,0.0
15,-75273.32215949631,-75306.81172044577,0.0,30.632825147738785,0.2602014623332362,179.22219561784837,179.22219561784837,44.80554890446209,0.0
16,-71827.31800503719,-71839.62911813163,0.0,19.467370456291647,0.24979340383990675,171.01742382151713,171.01742382151713,42.75435595537928,0.0
17,-74399.26997994632,-74440.00357797882,0.0,25.29609217007244,0.23980166768631048,177.1411189998722,177.1411189998722,44.28527974996805,0.0
18,-72540.17975602589,-72555.31904894502,0.0,24.879374564449982,0.23020960097885804,172.71471370482354,172.71471370482354,43.178678426205884,0.0
19,-74716.99023052718,-74733.97107813485,0.0,24.278197940380288,0.2210012169397037,177.8975957869695,177.8975957869695,44.474398946742376,0.0
20,-73830.42219119462,-73839.68557112582,0.0,22.26570529379804,0.21216116826211553,175.78671950284436,175.78671950284436,43.94667987571109,0.0
21,-74626.04943355542,-74640.72190085327,0.0,22.282876144331176,0.2036747215316309,177.68107007989389,177.68107007989389,44.42026751997347,0.0
22,-75896.16085613356,-75904.0323983068,0.0,25.532151138459483,0.19552773267036566,180.70514489555612,180.70514489555612,45.17628622388903,0.0
23,-72909.59986961058,-72922.05009743637,0.0,32.51996494291345,0.18770662336355104,173.59428540383473,173.59428540383473,43.39857135095868,0.0
24,-74384.13794824589,-74372.62825016196,0.0,30.45753425961231,0.180198358429009,177.1050903529664,177.1050903529664,44.2762725882416,0.0
25,-74140.37509465156,-74167.83594657654,0.0,14.633048837959253,0.17299042409184864,176.52470260631327,176.52470260631327,44.13117565157832,0.0
26,-72509.76049870087,-72521.33362276007,0.0,23.142795670021044,0.16607080712817468,172.64228690166874,172.64228690166874,43.160571725417185,0.0
27,-74759.46855782738,-74760.3934408802,0.0,21.110916562045624,0.1594279748430477,177.99873466149378,177.99873466149378,44.499683665373446,0.0
28,-75842.79576082258,-75846.69000236792,0.0,33.761352217118116,0.15305085584932576,180.5780851448157,180.5780851448157,45.144521286203926,0.0
29,-75397.48523272773,-75421.84201665921,0.0,31.357775474970794,0.14692882161535273,179.5178219826851,179.5178219826851,44.87945549567127,0.0
30,-73046.84093741656,-73069.05765805699,0.0,19.354741143913856,0.1410516687507386,173.9210498509918,173.9210498509918,43.48026246274795,0.0
31,-75579.76459004715,-75589.51938738435,0.0,27.44687280613959,0.13540960200070906,179.95182045249325,179.95182045249325,44.98795511312331,0.0
32,-74727.65454196629,-74730.43326387736,0.0,28.56499215086194,0.1299932179206807,177.92298700468166,177.92298700468166,44.480746751170415,0.0
33,-75659.22208973777,-75671.81883575619,0.0,23.125895962252013,0.12479348920385346,180.14100497556615,180.14100497556615,45.03525124389154,0.0
34,-73778.52239775087,-73800.63199743291,0.0,27.2213165574302,0.11980174963569931,175.66314856607352,175.66314856607352,43.91578714151838,0.0
35,-73655.5100475379,-73666.90038587971,0.0,30.79664901682124,0.11500967965027134,175.37026201794737,175.37026201794737,43.84256550448684,0.0
36,-74649.08595773242,-74653.27532445642,0.0,28.07967803472132,0.11040929246426048,177.73591894698197,177.73591894698197,44.43397973674549,0.0
37,-75075.77399193529,-75096.70500451498,0.0,23.452267803430047,0.10599292076569006,178.75184283794118,178.75184283794118,44.687960709485296,0.0
38,-75747.89689525629,-75766.1582254787,0.0,18.744432118073483,0.10175320393506244,180.35213546489592,180.35213546489592,45.08803386622398,0.0
39,-73414.85219670851,-73439.09246690058,0.0,24.075489317785056,0.1,174.79726713502026,174.79726713502026,43.699316783755066,0.0
40,-76519.457679606,-76529.23044940081,0.0,30.245046129184445,0.1,182.18918495144285,182.18918495144285,45.547296237860714,0.0
41,-74337.35346899065,-74345.31003208522,0.0,17.957693518182204,0.1,176.99369873569205,176.99369873569205,44.24842468392301,0.0
42,-74303.5448379991,-74302.97854626385,0.0,28.030049756728197,0.1,176.91320199523597,176.91320199523597,44.22830049880899,0.0
43,-72751.78539254592,-72753.98109902095,0.0,33.77397090992182,0.1,173.21853664891887,173.21853664891887,43.30463416222972,0.0
44,-75426.93847233593,-75421.11917825708,0.0,33.48228184145019,0.1,179.587948743657,179.587948743657,44.89698718591425,0.0
45,-75621.79118109819,-75638.90135577021,0.0,24.516434440648037,0.1,180.05188376451952,180.05188376451952,45.01297094112988,0.0
46,-75187.13353923897,-75196.68434837088,0.0,26.995680571760353,0.1,179.01698461723566,179.01698461723566,44.754246154308916,0.0
47,-76948.90466098704,-76963.52831396279,0.0,30.516509410082605,0.1,183.21167776425486,183.21167776425486,45.802919441063715,0.0
48,-77762.68160968127,-77778.82388616788,0.0,25.75150880730939,0.1,185.14924192781257,185.14924192781257,46.28731048195314,0.0
49,-73911.07397154004,-73922.4378494179,0.0,24.715271881394663,0.1,175.97874755128584,175.97874755128584,43.99468688782146,0.0
50,-73805.52568985379,-73823.60370754272,0.0,16.449158036716874,0.1,175.7274421186995,175.7274421186995,43.93186052967488,0.0
51,-75198.02489192026,-75199.5430376992,0.0,28.716320470113576,0.1,179.04291640933394,179.04291640933394,44.760729102333485,0.0
52,-75882.54742682361,-75899.25608120489,0.0,24.080083318236603,0.1,180.67273196862766,180.67273196862766,45.168182992156915,0.0
53,-75566.28644555772,-75581.47078488837,0.0,26.737908526808354,0.1,179.9197296322803,179.9197296322803,44.97993240807008,0.0
54,-76439.09528281174,-76448.69768600866,0.0,21.108476372988438,0.1,181.99784591145655,181.99784591145655,45.49946147786414,0.0
55,-75018.22382148748,-75035.18227403845,0.0,20.10813611192484,0.1,178.61481862258924,178.61481862258924,44.65370465564731,0.0
56,-75342.20341052877,-75361.28593808592,0.0,16.4870819788108,0.1,179.3861985964971,179.3861985964971,44.84654964912428,0.0
57,-73872.13450031038,-73897.42605668363,0.0,27.362987412065216,0.1,175.88603452454853,175.88603452454853,43.971508631137134,0.0
58,-74011.07107716695,-74028.63137451009,0.0,29.91345491972757,0.1,176.21683589801657,176.21683589801657,44.05420897450414,0.0
59,-73052.23789297492,-73083.89263741954,0.0,30.07185032509065,0.1,173.9338997451784,173.9338997451784,43.4834749362946,0.0
60,-76075.58455440463,-76072.17581209131,0.0,18.602115166321493,0.1,181.1323441771539,181.1323441771539,45.283086044288474,0.0
61,-75567.07746019312,-75575.82927441616,0.0,25.13045525105417,0.1,179.9216130004598,179.9216130004598,44.98040325011495,0.0
62,-72764.38881704415,-72784.56540724884,0.0,21.371280934232672,0.1,173.2485448024861,173.2485448024861,43.312136200621524,0.0
63,-73655.07981380286,-73671.94748144763,0.0,21.22308533823339,0.1,175.3692376519116,175.3692376519116,43.8423094129779,0.0
64,-74935.95597077788,-74944.84079274796,0.0,17.96669451575889,0.1,178.4189427875664,178.4189427875664,44.6047356968916,0.0
65,-75245.20630690052,-75250.97397443942,0.0,18.24157697191833,0.1,179.15525311166792,179.15525311166792,44.78881327791698,0.0
66,-75949.23501996315,-75954.47628743337,0.0,30.268208983039198,0.1,180.83151195229323,180.83151195229323,45.20787798807331,0.0
67,-73295.13797150418,-73300.64398261586,0.0,38.161910324186955,0.1,174.51223326548617,174.51223326548617,43.62805831637154,0.0
